Metric,Value
Total Loss,13.608410835266113
Voltage Loss (MSE),13.608410835266113
Current Loss (MAE),146.61581420898438
Voltage Magnitude MAE,2.739863395690918
Voltage Angle MAE,0.0005512204370461404
Voltage Magnitude RMSE,3.3188984394073486
Voltage Angle RMSE,0.0006583628710359335
