Epoch,Total Loss,Voltage Loss,Current Loss
0,327609056.0,327609056.0,593028.75
500,191206720.0,194818880.0,14210727.0
1000,107424504.0,112347416.0,13889351.0
1500,58300880.0,61415608.0,16919468.0
2000,29242462.0,31257960.0,11102980.0
2500,13867389.0,14405557.0,9920824.0
3000,6336339.0,5773463.0,9525969.0
3500,2659979.5,1932649.625,6211060.5
4000,1701095.5,515116.6875,6445010.5
4500,2223562.75,104354.984375,9737117.0
5000,1386084.0,28220.646484375,5459674.0
5500,716199.25,12855.7734375,2617831.5
6000,255590.984375,8014.8232421875,833268.6875
6500,144186.640625,5782.03857421875,438296.46875
7000,418028.5,4510.62255859375,1185990.25
7500,101893.2265625,3547.660888671875,269346.5
8000,94810.53125,2974.441650390625,232564.65625
8500,90740.578125,2421.778564453125,212704.640625
9000,53334.12890625,2087.99462890625,115968.2890625
9500,35749.984375,1911.712158203125,73908.0390625
9999,13566.7373046875,1806.0074462890625,25807.498046875
