Epoch,Total Loss,Voltage Loss,Current Loss
0,459101824.0,459101824.0,29.209917068481445
500,346544096.0,353616416.0,87.22066497802734
1000,259924064.0,273604288.0,79.45402526855469
1500,194454848.0,209091232.0,76.04039764404297
2000,141606640.0,157340720.0,78.11053466796875
2500,102344312.0,116300336.0,107.96460723876953
3000,71472680.0,84085480.0,110.1753921508789
3500,49142196.0,59207444.0,114.802734375
4000,32231978.0,40289940.0,130.63064575195312
4500,20484074.0,26261590.0,154.54627990722656
5000,12134593.0,16179416.0,123.23295593261719
5500,6784328.5,9293556.0,119.84391021728516
6000,3421759.25,4888158.0,162.80319213867188
6500,1573085.75,2313281.75,169.06129455566406
7000,625229.875,961809.75,153.1197967529297
7500,216007.21875,342776.75,156.41390991210938
8000,60563.75390625,100854.6875,127.3398666381836
8500,13728.6044921875,23556.658203125,156.53228759765625
9000,2422.425048828125,4284.22607421875,146.8900604248047
9500,514.6647338867188,814.7919921875,176.223388671875
9999,277.9398498535156,397.8971862792969,153.0863037109375
