Epoch,Total Loss,Voltage Loss,Current Loss
0,0.7986750602722168,0.7986750602722168,0.18585574626922607
500,0.024650411680340767,0.024072229862213135,0.05298123136162758
1000,0.02094767615199089,0.019891301169991493,0.04630071669816971
1500,0.0016988757997751236,0.001280606142245233,0.008251765742897987
2000,0.0013586077839136124,0.000829519412945956,0.007443124428391457
2500,0.0013462528586387634,0.0007190170581452549,0.006991375703364611
3000,0.0013730587670579553,0.0006677504861727357,0.006545319687575102
3500,0.001405759365297854,0.0006365703884512186,0.006130777299404144
4000,0.0014391932636499405,0.0006154029397293925,0.005764092784374952
4500,0.0014684179332107306,0.0006007247138768435,0.005421242211014032
5000,0.0014911742182448506,0.000591598975006491,0.005089475307613611
5500,0.0015060622245073318,0.0005881812539882958,0.004760367330163717
6000,0.0015133426059037447,0.00058988097589463,0.004437637515366077
6500,0.0015143471537157893,0.0005948044708929956,0.004131507594138384
7000,0.0015059476718306541,0.0006012388039380312,0.003832342103123665
7500,0.0014888420701026917,0.0006078350706957281,0.003544525010511279
8000,0.0014645786723122,0.0006137180025689304,0.003272657748311758
8500,0.0014019589871168137,0.0006153923459351063,0.002928823698312044
9000,0.0012926470953971148,0.0006079951417632401,0.002509805839508772
9500,0.0011148157063871622,0.0005821481463499367,0.0019839047454297543
9999,0.0009080138988792896,0.0005160623695701361,0.0015475137624889612
