Epoch,Total Loss,Voltage Loss,Current Loss
0,327610432.0,327610432.0,591431.8125
500,194296368.0,194296368.0,505821.0
1000,110879424.0,110879424.0,378429.25
1500,59338488.0,59338488.0,271731.40625
2000,29153708.0,29153708.0,187122.171875
2500,12667823.0,12667823.0,119097.90625
3000,4626856.5,4626856.5,70278.7265625
3500,1340557.0,1340557.0,37047.73828125
4000,288738.78125,288738.78125,16788.404296875
4500,42928.3125,42928.3125,6449.79296875
5000,4342.33935546875,4342.33935546875,2177.64208984375
5500,711.8526611328125,711.8526611328125,690.610595703125
6000,537.2409057617188,537.2409057617188,329.6587829589844
6500,533.5645141601562,533.5645141601562,6492.43359375
7000,533.546875,533.546875,1723.941162109375
7500,533.5466918945312,533.5466918945312,188.41114807128906
8000,533.5466918945312,533.5466918945312,296.5810546875
8500,533.5466918945312,533.5466918945312,206.34381103515625
9000,533.5466918945312,533.5466918945312,206.34385681152344
9500,533.5466918945312,533.5466918945312,206.34381103515625
9999,533.5466918945312,533.5466918945312,206.34385681152344
