Epoch,Total Loss,Voltage Loss,Current Loss
0,0.7986750602722168,0.7986750602722168,0.18585574626922607
500,0.028408579528331757,0.024072229862213135,0.05298123136162758
1000,0.027302365750074387,0.019774271175265312,0.044867921620607376
1500,0.004621227737516165,0.001873923116363585,0.007979044690728188
2000,0.004529012367129326,0.0013755053514614701,0.006631350144743919
2500,0.00461620045825839,0.001446397160179913,0.005672801285982132
3000,0.0045789992436766624,0.0018496433040127158,0.004882261157035828
3500,0.0039838398806750774,0.0026841911021620035,0.0039838398806750774
4000,0.0026168941985815763,0.02616996318101883,0.0026168941985815763
4500,0.002173016546294093,0.04457037150859833,0.002173016546294093
5000,0.0018837142270058393,0.05814136937260628,0.0018837142270058393
5500,0.0017262501642107964,0.07230524718761444,0.0017262501642107964
6000,0.0016156473429873586,0.08135553449392319,0.0016156473429873586
6500,0.0015458393609151244,0.08694101125001907,0.0015458393609151244
7000,0.0014571624342352152,0.09503736346960068,0.0014571624342352152
7500,0.0013731875224038959,0.10284575819969177,0.0013731875224038959
8000,0.0012551704421639442,0.11386851221323013,0.0012551704421639442
8500,0.0011212258832529187,0.12654131650924683,0.0011212258832529187
9000,0.000988864921964705,0.14071816205978394,0.000988864921964705
9500,0.0008642222383059561,0.1429496854543686,0.0008642222383059561
9999,0.0007040314376354218,0.12932038307189941,0.0007040314376354218
