Epoch,Total Loss,Voltage Loss,Current Loss
0,0.7986750602722168,0.7986750602722168,0.18585574626922607
500,0.029854029417037964,0.024072229862213135,0.05298123136162758
1000,0.029563788324594498,0.019693192094564438,0.04436968266963959
1500,0.005458256229758263,0.0021646013483405113,0.00765402615070343
2000,0.00535621726885438,0.0017328845569863915,0.006262050475925207
2500,0.005172391887754202,0.0021878755651414394,0.005172391887754202
3000,0.0034541848581284285,0.024000469595193863,0.0034541848581284285
3500,0.0024864363949745893,0.06365688890218735,0.0024864363949745893
4000,0.0021481490693986416,0.08270779997110367,0.0021481490693986416
4500,0.0019033272983506322,0.10309702903032303,0.0019033272983506322
5000,0.0017846880946308374,0.12302561104297638,0.0017846880946308374
5500,0.0016505199018865824,0.13463638722896576,0.0016505199018865824
6000,0.001594517845660448,0.144325852394104,0.001594517845660448
6500,0.0015259631909430027,0.15703149139881134,0.0015259631909430027
7000,0.001486178720369935,0.16368290781974792,0.001486178720369935
7500,0.001418456668034196,0.16835978627204895,0.001418456668034196
8000,0.001396346022374928,0.17698675394058228,0.001396346022374928
8500,0.0013086729450151324,0.18183456361293793,0.0013086729450151324
9000,0.0012378625106066465,0.1961158663034439,0.0012378625106066465
9500,0.0012060112785547972,0.19709007441997528,0.0012060112785547972
9999,0.0011242285836488008,0.22626763582229614,0.0011242285836488008
